"Articele Code",Name,Price,Unit
STM01458,"ZP ROOFING BOLT PHILIPS M 08 X 25",65.00,BAG
STM01457,"ZP ROOFING BOLT PHILIPS M 08 X 16",58.50,BAG
STM01456,"ZP ROOFING BOLT PHILIPS M 06 X 25",58.50,BAG
STM01455,"ZP ROOFING BOLT PHILIPS M 06 X 12",65.00,BAG
STM00568,"Yellow Sponge",58.50,BAG
STM00719,"WRECKING BAR 36"" SUPER DUTY WISDOM UKEN",33.75,PCS
STM00718,"WRECKING BAR 24"" SUPER DUTY WISDOM UKEN",26.00,PCS
STM00717,"WRECKING BAR 18"" SUPER DUTY WISDOM UKEN",17.00,PCS
STM00664,"WOOL PAD 180MM UKEN",33.75,PCS
STM00665,"WOOL BONNET 180MM UKEN",32.50,PCS
STM01805,"WOOD, ALUMINIUM & PVC PIPE CUTTING DISC 9""",81.25,BOX
STM01804,"WOOD, ALUMINIUM & PVC PIPE CUTTING DISC 7""",91.25,BOX
STM01803,"WOOD, ALUMINIUM & PVC PIPE CUTTING DISC 4.5""",101.00,DOZEN
STM01807,"WOOD, ALUMINIUM & PVC PIPE CUTTING DISC 12""",34.85,pc
STM01806,"WOOD, ALUMINIUM & PVC PIPE CUTTING DISC 10""",86.25,BOX
STM00235,"Wood Chisel 38MM",9.25,PCS
STM00234,"Wood Chisel 25MM",7.75,PCS
STM01710,"WOOD CHISEL 20MM , CV, BI-MATERIAL HANDLE",16.00,PCS
STM00232,"Wood Chisel 12MM",7.75,PCS
STM00819,"WIRE STRIPPER F STYLE UKEN",22.25,PCS
STM00820,"WIRE STRIPPER AUTO UKEN",28.75,PCS
STM00839,"WIRE ROPE CUTTER 8"" POCKET TYPE UKEN",46.75,PCS
STM00843,"WIRE ROPE CUTTER 42"" H/D UKEN",270.00,PCS
STM00842,"WIRE ROPE CUTTER 36"" H/D UKEN",198.00,PCS
STM00841,"WIRE ROPE CUTTER 24"" H/D UKEN",159.00,PCS
STM00840,"WIRE ROPE CUTTER 18"" UKEN",91.00,PCS
STM01531,"WIRE ROPE CLIPS SS 304 12MM",80.75,BAG
STM01530,"WIRE ROPE CLIPS SS 304 10MM",71.50,BAG
STM01527,"WIRE ROPE CLIPS GLV 6.5MM",78.00,BAG
STM01529,"WIRE ROPE CLIPS GLV 16MM",97.50,BAG
STM01528,"WIRE ROPE CLIPS GLV 10MM",65.00,BAG
STM01730,"WIRE BRUSH 240MM WITH PLASTIC HANDLE, BRASS COATED, CRIMPED STEEL WIRE TOPEX",43.75,DOZEN
STM00044,"Wire Brush",15.75,DOZEN
STM00659,"WINDOW SCRAPER UKEN",6.50,PCS
STM00615,"WHITE WOOD 4 x 4 x 13",1080.00,CBM
STM00614,"WHITE WOOD 3 x 3 x 13",1855.00,BUNDLE
STM00613,"WHITE WOOD 2 x 4 x 13",1080.00,CBM
STM00612,"WHITE WOOD 2 x 3 x 13",1335.00,BUNDLE
STM00610,"WHITE WOOD 2 x 2 x 13",1080.00,CBM
STM00616,"WHITE WOOD 2 x 12 x 13",5280.00,BUNDLE
STM00617,"WHITE WOOD 2 x 10 x 13",1080.00,CBM
STM00611,"WHITE WOOD 1 x 4 x 13",815.00,BUNDLE
STM00609,"WHITE WOOD 1 x 2 x 13",1080.00,CBM
STM00003,"WHITE FIBER GLASS MESH 1 MTR x 50 YARDS (100 GSM)",43.00,ROLL
STM00567,Wheelbarrow,156.00,PCS
STM00030,"WHEEL BARROW SPARE TYRE SOLID FRANCE",19.50,PCS
STM01788,"WELDING MACHINE PPRC",194.00,PCS
STM01789,"WELDING MACHINE MMA 5000 140 AM",407.00,pc
STM01820,"WELDING HOLDER 800AM",81.25,"4 PCS"
STM01191,"WELDING HELMET SOLAR POWERED AUTO DARKENING UKEN",104.00,PCS
STM01706,"WELDING HAMMER 300G TOPEX",9.50,PCS
STM00686,"WELDING CHIPPING HAMMER UKEN",7.75,PCS
STM00564,"Welded Hand Gloves Rubber",23.50,DOZEN
STM00566,"Welded Hand Gloves Leather",45.25,DOZEN
STM00565,"WELDED HAND GLOVES COTTON",11.25,DOZEN
STM01448,"WEDGE ANCHOR KNURLING M6",52.00,BAG
STM01450,"WEDGE ANCHOR KNURLING M16",58.50,BAG
STM01449,"WEDGE ANCHOR KNURLING M10",70.25,BAG
STM01830,"WATER TANK 20L ALUMINIUM",127.00,PCS
STM01829,"WATER TANK 10L ALUMINIUM",93.00,PCS
STM00254,"WATER PUMP ST500 0.5 HP",130.00,PCS
STM00252,"Water Pump QB60 0.5 HP",111.00,PCS
STM01698,"WATER PUMP PLIERS 300MM, CRV",29.75,PCS
STM01695,"WATER PUMP PLIER 250MM TOPEX",18.25,PCS
STM00158,"WATER PUMP PLIER 10''",13.00,PCS
STM01834,"WATER PUMP GASOLIN 4""",879.00,PCS
STM01833,"WATER PUMP GASOLIN 3""",617.00,PCS
STM01832,"WATER PUMP GASOLIN 2""",541.00,PCS
STM00253,"Water Pump CPM158 1 HP",241.00,PCS
STM00918,"WATER PROOF PAPER 230 MM X 280 MM 800 GRIT UKEN",39.00,PKT
STM00908,"WATER PROOF PAPER 230 MM X 280 MM 80 GRIT UKEN",45.50,PKT
STM00917,"WATER PROOF PAPER 230 MM X 280 MM 600 GRIT UKEN",39.00,PKT
STM00907,"WATER PROOF PAPER 230 MM X 280 MM 60 GRIT UKEN",45.50,PKT
STM00916,"WATER PROOF PAPER 230 MM X 280 MM 400 GRIT UKEN",39.00,PKT
STM00915,"WATER PROOF PAPER 230 MM X 280 MM 320 GRIT UKEN",39.00,PKT
STM00914,"WATER PROOF PAPER 230 MM X 280 MM 240 GRIT UKEN",39.00,PKT
STM00913,"WATER PROOF PAPER 230 MM X 280 MM 220 GRIT UKEN",39.00,PKT
STM00922,"WATER PROOF PAPER 230 MM X 280 MM 2000 GRIT UKEN",39.00,PKT
STM00912,"WATER PROOF PAPER 230 MM X 280 MM 180 GRIT UKEN",39.00,PKT
STM00921,"WATER PROOF PAPER 230 MM X 280 MM 1500 GRIT UKEN",39.00,PKT
STM00911,"WATER PROOF PAPER 230 MM X 280 MM 150 GRIT UKEN",39.00,PKT
STM00920,"WATER PROOF PAPER 230 MM X 280 MM 1200 GRIT UKEN",39.00,PKT
STM00910,"WATER PROOF PAPER 230 MM X 280 MM 120 GRIT UKEN",39.00,PKT
STM00919,"WATER PROOF PAPER 230 MM X 280 MM 1000 GRIT UKEN",39.00,PKT
STM00909,"WATER PROOF PAPER 230 MM X 280 MM 100 GRIT UKEN",44.25,PKT
STM01838,"WATER HOSE REEL 20M",168.00,pc
STM00294,"Water Heater Screw Set",58.50,BAG
STM01496,"WASHER SS 316 MM 6",52.00,BAG
STM01501,"WASHER SS 316 MM 24",58.50,BAG
STM01499,"WASHER SS 316 MM 16",52.00,BAG
STM01497,"WASHER SS 304 MM 8",52.00,BAG
STM01502,"WASHER SS 304 MM 30",65.00,BAG
STM01500,"WASHER SS 304 MM 20",52.00,BAG
STM01498,"WASHER SS 304 MM 12",65.00,BAG
STM01509,"WASHER SPG SS316 M 24",58.50,BAG
STM01507,"WASHER SPG SS316 M 16",52.00,BAG
STM01505,"WASHER SPG SS316 M 10",58.50,BAG
STM00295,"Wash Basin Screw Set",58.50,BAG
STM00390,"WASH BASIN MIXER WHITE CHROME SI-2302",104.00,PCS
STM00395,"WASH BASIN MIXER CONFLO CF - 2242",58.50,PCS
STM00398,"WASH BASIN MIXER CONFLO CF - 1142",50.75,PCS
STM02211,"WARNING TAPE 3''X150 YARDS",56.25,BOX
STM02210,"WARNING TAPE 3''X100 YARDS",43.75,BOX
STM00031,"WARNING TAPE",58.50,BOX
STM00020,"WALL SCRAPER 4""",33.75,DOZEN
STM00155,"WALL SCRAPER 10''",39.00,DOZEN
STM00288,"Wall Plug 8MM (40PCS)",52.25,BOX
STM00289,"Wall Plug 12MM (20PCS)",45.50,BOX
STM00400,"WALL PILLAR COCK/ TAP ST - 1178",24.75,PCS
STM00204,"Voltage tester 100v-500 140mm",23.50,DOZEN
STM01760,"VERNIER CALIPER, 150MM TOPEX",22.50,PCS
STM00219,"Utility Knife With 3 Blade Inside",7.75,PCS
STM00856,"UTILITY HOOK BLADE 5 PCS UKEN",5.25,PKT
54542,"under push fit 87.5° accesstee",4.00,
56743,"Under push fit 45° double y-branch",3.00,
STM01825,"ULTIMATE LADDER 4*6 SILVER",439.00,PCS
STM01824,"ULTIMATE LADDER 4*5 SILVER",406.00,PCS
STM01823,"ULTIMATE LADDER 4*4 SILVER",372.00,PCS
STM01822,"ULTIMATE LADDER 4*3 SILVER",321.00,PCS
STM00737,"TYRE LEVER 24"" UKEN",49.50,PCS
STM00736,"TYRE LEVER 20"" UKEN",41.75,PCS
STM00735,"TYRE LEVER 16"" UKEN",33.75,PCS
STM00734,"TYRE LEVER 12"" UKEN",19.50,PCS
STM01536,"TURNBUCKLES SS HOOK-EYE 8MM",113.00,BAG
STM01535,"TURNBUCKLES SS HOOK-EYE 6MM",93.75,BAG
STM01537,"TURNBUCKLES SS HOOK-EYE 12MM",150.00,BAG
STM01532,"TURNBUCKLES GLV HOOK-EYE 6MM",71.50,BAG
STM01534,"TURNBUCKLES GLV HOOK-EYE 20MM",105.00,BAG
STM01533,"TURNBUCKLES GLV HOOK-EYE 10MM",91.00,BAG
STM00998,"TURBO DOUBLE RAW DIAMOND CUP GRINDING WHEEL 4"" Diameter 100mm UKEN",91.00,PCS
STM00826,"TUBE CUTTER 6-67 MM UKEN",107.00,PCS
STM00825,"TUBE CUTTER 6-42 MM UKEN",58.50,PCS
STM00824,"TUBE CUTTER 3-30 MM UKEN",43.00,PCS
STM00823,"TUBE CUTTER 3-22MM MINI UKEN",28.75,PCS
STM02117,"TRUST HYGIENIC SILK-WHITE",20.00,LITRE
STM02119,"TRUST HYGIENIC SILK-WHITE",62.25,GALLON
STM02121,"TRUST HYGIENIC SILK-WHITE",305.00,DRUM
STM02118,"TRUST HYGIENIC SILK-OFF WHITE",20.00,LITRE
STM02120,"TRUST HYGIENIC SILK-OFF WHITE",62.25,GALLON
STM02122,"TRUST HYGIENIC SILK-OFF WHITE",305.00,DRUM
STM02111,"TRUST HYGIENIC MATT-WHITE",19.00,LITRE
STM02113,"TRUST HYGIENIC MATT-WHITE",60.00,GALLON
STM02115,"TRUST HYGIENIC MATT-WHITE",295.00,DRUM
STM02112,"TRUST HYGIENIC MATT-OFF WHITE",19.00,LITRE
STM02114,"TRUST HYGIENIC MATT-OFF WHITE",60.00,GALLON
STM02116,"TRUST HYGIENIC MATT-OFF WHITE",295.00,DRUM
STM00054,"TROWEL STEEL WOOD HANDLE ZIGZAG",58.50,DOZEN
STM00053,"TROWEL STEEL WOOD HANDLE",28.75,DOZEN
STM00238,"Trowel Karandi Pan No.12",39.00,DOZEN
STM00237,"Trowel Karandi Pan No.10",36.50,DOZEN
STM00057,"TROLLEY 2 WHEELS LONG",111.00,PCS
STM00404,"TRICONE BIB TAP L/B ST 1120",23.50,PCS
STM01891,"TRI PROOF FIXTURE 2 x 40W ROLA",19.50,PCS
STM01892,"TRI PROOF FIXTURE 2 x 20W ROLA",19.50,PCS
STM01890,"TRI PROOF FIXTURE 1 x 40W ROLA",19.50,PCS
STM01717,"TRAPEZOID TROWEL 200 x 140MM TOPEX",85.75,DOZEN
STM00244,"Traffic Cone 0.75 MM",15.75,PCS
STM01962,"TRACK LIGHT 30W STATUS",39.00,PCS
STM00560,"Tower Pincer Plier 8''/200mm",11.50,PCS
STM01765,"TORX KEYS T10-T50, 9 PCS SET",20.75,SET
STM01757,"TORPEDO LEVEL, ALUMINIUM FRAMES ,230 MM, MAGNETIC TOPEX",54.75,DOZEN
STM01839,"TOOLS TROLLEY 3 LAYER",261.00,pc
STM01840,"TOOLS BOX 7 DRAWER",1100.00,PCS
STM01247,"TOOL POUCH SINGLE UKEN",58.50,PCS
STM01248,"TOOL POUCH DOUBLE WITH BELT UKEN",156.00,PCS
STM00879,"TOOL BOX PROFESSIONAL 520MM UKEN",117.00,PCS
STM00878,"TOOL BOX PROFESSIONAL 450MM UKEN",78.00,PCS
STM00881,"TOOL BOX PLASTIC HEAVY DUTY 475MM UKEN",78.00,PCS
STM00880,"TOOL BOX PLASTIC HEAVY DUTY 412.5MM UKEN",45.50,PCS
STM01811,"TOOL BOX PLASTIC AND METAL 18""",76.00,PCS
STM01810,"TOOL BOX PLASTIC AND METAL 16""",61.00,PCS
STM01809,"TOOL BOX PLASTIC AND METAL 14""",50.75,PCS
STM00887,"TOOL BOX PLASTIC 23.5"" UKEN",83.25,PCS
STM00886,"TOOL BOX PLASTIC 21"" UKEN",58.50,PCS
STM00885,"TOOL BOX PLASTIC 18.5"" UKEN",39.00,PCS
STM00884,"TOOL BOX PLASTIC 16.5"" UKEN",26.00,PCS
STM00883,"TOOL BOX PLASTIC 14"" UKEN",20.75,PCS
STM00882,"TOOL BOX PLASTIC 12"" UKEN",13.00,PCS
STM00877,"TOOL BOX 5 TRAY 21"" W/SINGLE HANDLE UKEN",78.00,PCS
STM00872,"TOOL BOX 21"" UKEN",39.00,PCS
STM00874,"TOOL BOX 21"" ORANGE UKEN",59.75,PCS
STM00876,"TOOL BOX 21"" BLUE/GRAY H/D UKEN",85.75,PCS
STM00561,"Tool Box 19''",44.50,PCS
STM00871,"TOOL BOX 18"" UKEN",39.00,PCS
STM00873,"TOOL BOX 18"" ORANGE UKEN",54.75,PCS
STM00875,"TOOL BOX 18"" BLUE/GRAY H/D UKEN",78.00,PCS
STM01246,"TOOL BAG 20"" UKEN",169.00,PCS
STM01245,"TOOL BAG 15"" UKEN",97.50,PCS
STM01244,"TOOL BAG 14"" UKEN",78.00,PCS
STM00849,"TINMANS SNIPPER 14"" UKEN",45.50,PCS
STM00847,"TINMANS SNIPPER 10"" UKEN",32.50,PCS
STM01691,"TIN SNIP 250MM, STRAIGHT TOPEX",19.25,PCS
STM01690,"TIN SNIP 250MM, RIGHT TOPEX",19.25,PCS
STM01689,"TIN SNIP 250MM, LEFT TOPEX",19.25,PCS
STM00323,"TILE TRIM 8mm",39.75,BOX
STM00324,"TILE TRIM 10mm",58.50,BOX
STM00028,"TILE SPACER SYRIA 1.5MM",117.00,BOX
STM01459,"THOROUGH BOLT M 8 X 80L",78.00,BAG
STM01466,"THOROUGH BOLT M 24 X 300L",58.50,BAG
STM01465,"THOROUGH BOLT M 20 X 200L",84.50,BAG
STM01464,"THOROUGH BOLT M 16 X 150L",104.00,BAG
STM01463,"THOROUGH BOLT M 16 X 100L",78.00,BAG
STM01462,"THOROUGH BOLT M 12 X 100L",84.50,BAG
STM01460,"THOROUGH BOLT M 10 X 80L",78.00,BAG
